frequency,gain_sch
1.6218101e+08,27.074858
1.6595869e+08,26.889074
1.6982437e+08,26.702686
1.7378008e+08,26.515716
1.7782794e+08,26.328188
1.8197009e+08,26.140123
1.8620871e+08,25.951542
1.9054607e+08,25.762464
1.9498446e+08,25.57291
1.9952623e+08,25.382898
2.0417379e+08,25.192447
2.0892961e+08,25.001573
2.1379621e+08,24.810293
2.1877616e+08,24.618625
2.2387211e+08,24.426582
2.2908677e+08,24.23418
2.3442288e+08,24.041434
2.3988329e+08,23.848357
2.4547089e+08,23.654962
2.5118864e+08,23.461261
2.5703958e+08,23.267268
2.630268e+08,23.072994
2.6915348e+08,22.87845
2.7542287e+08,22.683646
2.8183829e+08,22.488594
2.8840315e+08,22.293302
2.9512092e+08,22.09778
3.0199517e+08,21.902037
3.0902954e+08,21.706081
3.1622777e+08,21.509922
3.2359366e+08,21.313566
3.3113112e+08,21.117022
3.3884416e+08,20.920296
3.4673685e+08,20.723395
3.5481339e+08,20.526325
3.6307805e+08,20.329094
3.7153523e+08,20.131707
3.801894e+08,19.934169
3.8904514e+08,19.736485
3.9810717e+08,19.538662
4.0738028e+08,19.340704
4.1686938e+08,19.142615
4.2657952e+08,18.9444
4.3651583e+08,18.746064
4.4668359e+08,18.547609
4.5708819e+08,18.34904
4.6773514e+08,18.150361
4.7863009e+08,17.951574
4.8977882e+08,17.752683
5.0118723e+08,17.553691
5.1286138e+08,17.354601
5.2480746e+08,17.155416
5.370318e+08,16.956137
5.4954087e+08,16.756767
5.6234133e+08,16.557308
5.7543994e+08,16.357763
5.8884366e+08,16.158132
6.0255959e+08,15.958417
6.16595e+08,15.758619
6.3095734e+08,15.55874
6.4565423e+08,15.35878
6.6069345e+08,15.158739
6.7608298e+08,14.958617
6.9183097e+08,14.758414
7.0794578e+08,14.558129
7.2443596e+08,14.35776
7.4131024e+08,14.157305
7.5857758e+08,13.956761
7.7624712e+08,13.756125
7.9432823e+08,13.555392
8.1283052e+08,13.354555
8.3176377e+08,13.153606
8.5113804e+08,12.952538
8.7096359e+08,12.751337
8.9125094e+08,12.54999
9.1201084e+08,12.348481
9.332543e+08,12.146788
9.5499259e+08,11.944888
9.7723722e+08,11.742749
1e+09,11.540338
1.023293e+09,11.337611
1.0471285e+09,11.134516
1.0715193e+09,10.930991
1.0964782e+09,10.726963
1.1220185e+09,10.522342
1.1481536e+09,10.317021
1.1748976e+09,10.110873
1.2022644e+09,9.9037422
1.2302688e+09,9.695444
1.2589254e+09,9.4857557
1.2882496e+09,9.2744094
1.3182567e+09,9.0610831
1.3489629e+09,8.8453891
1.3803843e+09,8.6268606
1.4125375e+09,8.4049357
1.4454398e+09,8.1789381
1.4791084e+09,7.9480539
1.5135612e+09,7.7113043
1.5488166e+09,7.4675138
1.5848932e+09,7.215273
1.6218101e+09,6.9528969
1.6595869e+09,6.678377
1.6982437e+09,6.3893313
1.7378008e+09,6.082951
1.7782794e+09,5.7559499
1.8197009e+09,5.4045208
1.8620871e+09,5.0243053
1.9054607e+09,4.6103893
1.9498446e+09,4.1573314
1.9952623e+09,3.6592377
